location,pathogen,origin_date,round_id,data_received
ACT,RSV,2025-10-07,2025-10-09,2025-10-08
NSW,RSV,2025-10-07,2025-10-09,2025-10-08
NT,RSV,2025-10-02,2025-10-09,2025-10-08
NZ,RSV,NA,NA,NA
QLD,RSV,2025-10-07,2025-10-09,2025-10-08
SA,RSV,2025-10-07,2025-10-09,2025-10-08
TAS,RSV,2025-10-02,2025-10-09,2025-10-08
VIC,RSV,2025-10-07,2025-10-09,2025-10-08
WA,RSV,2025-10-06,2025-10-09,2025-10-08
ACT,SARSCOV2,2025-10-07,2025-10-09,2025-10-08
NSW,SARSCOV2,2025-10-07,2025-10-09,2025-10-08
NT,SARSCOV2,2025-10-02,2025-10-09,2025-10-08
NZ,SARSCOV2,2025-10-05,2025-10-09,2025-10-06
QLD,SARSCOV2,2025-10-07,2025-10-09,2025-10-08
SA,SARSCOV2,2025-10-07,2025-10-09,2025-10-08
TAS,SARSCOV2,2025-10-07,2025-10-09,2025-10-08
VIC,SARSCOV2,2025-10-07,2025-10-09,2025-10-08
WA,SARSCOV2,2025-09-25,2025-10-09,2025-10-08
ACT,flu,2025-10-07,2025-10-09,2025-10-08
NSW,flu,2025-10-07,2025-10-09,2025-10-08
NT,flu,2025-10-02,2025-10-09,2025-10-08
NZ,flu,NA,NA,NA
QLD,flu,2025-10-07,2025-10-09,2025-10-08
SA,flu,2025-10-07,2025-10-09,2025-10-08
TAS,flu,2025-10-07,2025-10-09,2025-10-08
VIC,flu,2025-10-07,2025-10-09,2025-10-08
WA,flu,2025-10-06,2025-10-09,2025-10-08
NZ,RSV_NZhosp,2025-09-27,2025-10-09,2025-10-02
NZ,SARSCOV2_NZhosp,2025-09-29,2025-10-09,2025-10-06
NZ,flu_NZhosp,2025-09-28,2025-10-09,2025-10-02
