"time","t_step","y","lb_50","ub_50","lb_95","ub_95","prop","location"
2022-08-10,2,-0.0265580449212273,-0.0332642228737539,-0.0199241887472537,-0.0461948778541331,-0.00682041082630435,0.00375,"NZ"
2022-08-11,3,-0.0265364753167732,-0.0325467724408379,-0.0205582381676874,-0.0441647264949198,-0.00888657715427277,0.001375,"NZ"
2022-08-12,4,-0.0264904088081415,-0.0318944977306574,-0.0212156572058075,-0.0423168263116539,-0.0107709388964281,5e-04,"NZ"
2022-08-13,5,-0.0265960101807159,-0.0313219346972158,-0.0218880793992704,-0.0405675099795647,-0.0126204488357889,0.000125,"NZ"
2022-08-14,6,-0.0267161529114737,-0.0308863830566681,-0.0226594741354358,-0.0387069715335312,-0.0147874293064937,0,"NZ"
2022-08-15,7,-0.026967432956694,-0.0307240502872366,-0.0233764522630271,-0.0377118595249513,-0.016304088624888,0,"NZ"
2022-08-16,8,-0.0275121603447861,-0.0309842501292446,-0.0239500424317427,-0.0375530066383686,-0.0170652997215498,0,"NZ"
2022-08-17,9,-0.0281224046056106,-0.031515598484213,-0.0247492452146414,-0.0378835576813532,-0.0178749872309808,0,"NZ"
2022-08-18,10,-0.0289228096954424,-0.0321483715558726,-0.025640907103565,-0.0381405533814542,-0.019201273246055,0,"NZ"
2022-08-19,11,-0.0298740327774705,-0.0328704556342114,-0.0268953860884587,-0.0386665054727223,-0.0209750777537119,0,"NZ"
2022-08-20,12,-0.0308892816743995,-0.0339406458383857,-0.0279986912435104,-0.0400166835401216,-0.0223723557605864,0,"NZ"
2022-08-21,13,-0.0318170867678615,-0.0349278052092927,-0.0286989729503333,-0.0413856922940774,-0.0226282349146846,0,"NZ"
2022-08-22,14,-0.0324076277562964,-0.0355483510450245,-0.0291689161957744,-0.0422628780000965,-0.0228358792462436,0,"NZ"
2022-08-23,15,-0.0326646230174643,-0.0358299648665199,-0.0294975787655138,-0.0420622781308526,-0.0233918014431286,0,"NZ"
2022-08-24,16,-0.0326515789828661,-0.0356998399002253,-0.0296363287196248,-0.0417019039422747,-0.0237233708920112,0,"NZ"
2022-08-25,17,-0.0324273833078133,-0.0354140760721109,-0.0292586395694656,-0.0413023710525373,-0.0233284619868501,0,"NZ"
2022-08-26,18,-0.0320183344337344,-0.0352812203378574,-0.0287029304391964,-0.0414422634075154,-0.022379622807264,0,"NZ"
